Substance,has,Component,CASNumber,ECRefNo,MolecularFormula,smiles
Saxitoxins,part of group assessment,Gonyautoxin 5,64296-25-9,,C10H17N7O7S,C1CN2C(=N[C@H]([C@H]3[C@]2(C1(O)O)N=C(N3)N)COC(=O)NS(=O)(=O)O)N
Saxitoxins,part of group assessment,Gonyautoxin 6,82810-44-4,632-903-6,,
Saxitoxins,part of group assessment,N-Sulfocarbamoylgonyautoxin-1,,,,
Saxitoxins,part of group assessment,N-Sulfocarbamoylgonyautoxin-2,,,C11H18N6O11S2,[O-]S(=O)(=O)NC(=O)OC[C@@H]1NC(=[NH2+])C3C[C@H](OS([O-])(=O)=O)[C@@](O)(O)C32NC(=[NH2+])N[C@@H]12
Saxitoxins,part of group assessment,N-Sulfocarbamoylgonyautoxin-3,80226-62-6,,C10H17N7O11S2,C1[C@@H](C([C@@]23N1C(=N[C@H]([C@@H]2NC(=N3)N)COC(=O)NS(=O)(=O)O)N)(O)O)OS(=O)(=O)O
Saxitoxins,part of group assessment,N-Sulfocarbamoylgonyautoxin-4,,,C11H18N6O12S2,[O-]S(=O)(=O)NC(=O)OC[C@@H]1N(O)C(=[NH2+])C3C[C@H](OS([O-])(=O)=O)[C@@](O)(O)C32NC(=[NH2+])N[C@@H]12
Saxitoxins,part of group assessment,Neosaxitoxin,64296-20-4,,C10H17N7O5,C1CN2C(=N)N([C@H]([C@H]3[C@]2(C1(O)O)N=C(N3)N)COC(=O)N)O
Saxitoxins,part of group assessment,Saxitoxin,35523-89-8,,C10H17N7O4,C1CN2C(=N[C@H]([C@H]3[C@]2(C1(O)O)N=C(N3)N)COC(=O)N)N
Scansmoke SEF7525,ca.,"2,4-Dimethylphenol",105-67-9,203-321-6,C8H10O,CC1=CC(=C(C=C1)O)C
Scansmoke SEF7525,ca.,"2,6-Dimethoxy-4-(prop-1-enyl)phenol",20675-95-0,,C11H14O3,C/C=C/C1=CC(=C(C(=C1)OC)O)OC
Scansmoke SEF7525,ca.,"2,6-Dimethoxy-4-propylphenol",6766-82-1,,C11H16O3,CCCC1=CC(=C(C(=C1)OC)O)OC
Scansmoke SEF7525,ca.,"2,6-Dimethoxyphenol",91-10-1,202-041-1,C8H10O3,COC1=C(C(=CC=C1)OC)O
Scansmoke SEF7525,ca.,2-Methoxy-4-methylphenol,93-51-6,202-252-9,C8H10O2,CC1=CC(=C(C=C1)O)OC
Scansmoke SEF7525,ca.,2-Methoxy-4-propylphenol,2785-87-7,220-499-0,C10H14O2,CCCC1=CC(=C(C=C1)O)OC
Scansmoke SEF7525,ca.,2-Methoxyphenol,90-05-1,201-964-7,C7H8O2,COC1=CC=CC=C1O
Scansmoke SEF7525,ca.,2-Methylphenol,95-48-7,202-423-8,C7H8O,CC1=CC=CC=C1O
Scansmoke SEF7525,ca.,"4-Allyl-2,6-dimethoxyphenol",6627-88-9,229-600-2,C11H14O3,COC1=CC(=CC(=C1O)OC)CC=C
Scansmoke SEF7525,ca.,4-Ethyl guaiacol,2785-89-9,220-500-4,C9H12O2,CCC1=CC(=C(C=C1)O)OC
Scansmoke SEF7525,ca.,"4-Ethyl-2,6-dimethoxyphenol",14059-92-8,,C10H14O3,CCC1=CC(=C(C(=C1)OC)O)OC
Scansmoke SEF7525,ca.,"4-Methyl-2,6-dimethoxyphenol",6638-05-7,229-641-6,C9H12O3,CC1=CC(=C(C(=C1)OC)O)OC
Scansmoke SEF7525,ca.,4-Methylphenol,106-44-5,203-398-6,C7H8O,CC1=CC=C(C=C1)O
Scansmoke SEF7525,ca.,4-Propenyl syringol (cis),26624-13-5,,C11H14O3,C/C=C\C1=CC(=C(C(=C1)OC)O)OC
Scansmoke SEF7525,ca.,Eugenol,97-53-0,202-589-1,C10H12O2,COC1=C(C=CC(=C1)CC=C)O
Scansmoke SEF7525,ca.,Isoeugenol,97-54-1,202-590-7,C10H12O2,CC=CC1=CC(=C(C=C1)O)OC
Scansmoke SEF7525,ca.,Phenol,108-95-2,203-632-7,C6H6O,C1=CC=C(C=C1)O
Schizochytrium sp. oil,ca.,Docosahexaenoic acid,1327-53-3,215-481-4,As2O3,O=[As]O[As]=O
Schizochytrium sp. oil,ca.,Oleic acid,112-80-1,204-007-1,C18H34O2,CCCCCCCC/C=C/CCCCCCCC(=O)O
Schizochytrium sp. oil,ca.,Palmitic acid,57-10-3,200-312-9,C16H32O2,CCCCCCCCCCCCCCCC(=O)O
Sclareol,as such,Sclareol,515-03-7,208-194-0,,O[C@@]1(C)[C@H](CC[C@](O)(C)C=C)[C@]([C@@]2([H])CC1)(CCCC(C)2C)C
Se-methyl-L-selenocysteine,as such,Se-methyl-L-selenocysteine,26046-90-2,,C4H9NO2Se,C[Se]C[C@@H](C(=O)O)N
Sea-algae extract,as such,Sea-algae extract,,,,
Sea-algae extract formualtion (Althia),active ingredient,Sea-algae extract,,,,
Sea-algae extract formulation (Agrocean Base),active ingredient,Sea-algae extract,,,,
Sea-algae extract formulation (Algaegreen),active ingredient,Sea-algae extract,,,,
Sea-algae extract formulation (Kelpgrow),active ingredient,Sea-algae extract,,,,
Sea-algae extract formulation (Stimplex (pH 4)),active ingredient,Sea-algae extract,,,,
Sea-algae extract formulation (Stimplex (pH 8)),active ingredient,Sea-algae extract,,,,
Sedaxane,part of,Sedaxane,874967-67-6,,,
Sedaxane preparation (A16148F),active ingredient,Sedaxane,874967-67-6,,,
Selenious acid,as such,Selenious acid,7783-00-8,231-974-7,H2O3Se,O[Se](=O)O
Selenite triglycerides,as such,Selenite triglycerides,,,,
Selenium (total),not part of group assessment,Selenocysteine,10236-58-5,,C3H6NO2Se,C([C@@H](C(=O)O)N)[Se]
Selenium amino acid chelate,as such,Selenium amino acid chelate,,,,
Selenium nanoparticles,as such,Selenium,7782-49-2,231-957-4,Se,[Se]
Selenium sulfide,as such,Selenium sulfide,7446-34-6,,SSe,S=[Se]
Selenium-enriched yeast (Saccharomyces cerevisiae CNCM I-3399),as such,Selenium-enriched yeast (Saccharomyces cerevisiae CNCM I-3399),,,,
Selenium-enriched yeast (Saccharomyces cerevisiae NCYC R397),as such,Selenium-enriched yeast (Saccharomyces cerevisiae NCYC R397),,,,
Selenium-enriched yeast (Yarrowia lipolytica),as such,Selenium-enriched yeast (Yarrowia lipolytica),,,,
Selenium-humic acid/fulvic acid chelate,as such,Selenium-humic acid/fulvic acid chelate,,,,
Semduramicin sodium,as such,Semduramicin sodium,119068-77-8,,C45H75NaO16,C[C@H]1C[C@H]([C@@](O[C@@H]1[C@H]2C[C@@H]([C@@H](O2)[C@@]3(CC[C@@H](O3)[C@@]4(CC[C@@]5(O4)C[C@@H]([C@H]([C@H](O5)[C@@H](C)C6[C@@H]([C@H](C([C@](O6)(CC(=O)[O-])O)C)O)OC)C)O)C)C)O[C@H]7CC[C@@H]([C@H](O7)C)OC)(C)O)C.[Na+]
Semduramicin sodium formulation (Aviax 5%),active ingredient,Semduramicin sodium,119068-77-8,,C45H75NaO16,C[C@H]1C[C@H]([C@@](O[C@@H]1[C@H]2C[C@@H]([C@@H](O2)[C@@]3(CC[C@@H](O3)[C@@]4(CC[C@@]5(O4)C[C@@H]([C@H]([C@H](O5)[C@@H](C)C6[C@@H]([C@H](C([C@](O6)(CC(=O)[O-])O)C)O)OC)C)O)C)C)O[C@H]7CC[C@@H]([C@H](O7)C)OC)(C)O)C.[Na+]
Semicarbazide,as such,Semicarbazide,57-56-7,200-339-6,CH5N3O,C(=O)(N)NN
Sepiolite,as such,Sepiolite,63800-37-3,264-465-3,Si12.Mg8.O36.(H2O)4.8H2O,O.O[Si](=O)[O-].O[Si](=O)[O-].[O-][Si](=O)[O-].[Mg+2].[Mg+2]
Sheep Fat,part of,Triglyceride of oleic acid,,,,
Sheep Fat,part of,Triglyceride of palmitic acid,,,,
Sheep Fat,part of,Triglyceride of stearic acid,,,,
Shellac,as such,Shellac,9000-59-3,232-549-9,C20 H14 O10,O([H])C1C(C([H])([H])C([H])([H])[H])=C(C(C([H])([H])[H])=O)C(=C2C(C3=C(C(=O)O[H])C(C(=O)O[H])=C(C([H])=C3C(C2=1)=O)O[H])=O)O[H]
Short-chain chlorinated paraffins (SCCPs),as such,Short-chain chlorinated paraffins (SCCPs),85535-84-8,,,
Silica gel,as such,Silica gel,63231-67-4,613-187-4,,
"Silicic acid, magnesium-sodium-fluoride salt",as such,"Silicic acid, magnesium-sodium-fluoride salt",,,,
Silicon (total),not part of group assessment,Polydimethylsiloxane,9016-00-6,618-493-1,,
Silicon (total),not part of group assessment,Silicate,12627-13-3,,SiO4(4-),[O-][Si]([O-])([O-])[O-]
Silicon (total),not part of group assessment,Silicon dioxide,7631-86-9,231-545-4,O2Si,O=[Si]=O
Silicon dioxide,as such,Silicon dioxide,7631-86-9,231-545-4,O2Si,O=[Si]=O
Silicon dioxide coating (SiOx) formed from the monomers hexamethyldisiloxane and hexamethyldisilazane,monomer,Hexamethyldisilazane,999-97-3,213-668-5,C6H19NSi2,C[Si](C)(C)N[Si](C)(C)C
Silicon dioxide coating (SiOx) formed from the monomers hexamethyldisiloxane and hexamethyldisilazane,monomer,Hexamethyldisiloxane,107-46-0,203-492-7,C6H18OSi2,C[Si](C)(C)O[Si](C)(C)C
"Silicon dioxide, silanated",as such,"Silicon dioxide, silanated",,,,
Silthiofam,as such,Silthiofam,175217-20-6,,C13H21NOSSi,CC1=C(SC(=C1C(=O)NCC=C)[Si](C)(C)C)C
Silthiofam allyl acid,as such,Silthiofam allyl acid,,,C13H19NO3SSi,O=C(NCC=C)c1c(C)c(sc1[Si](C)(C)C)C(=O)O
Silthiofam allyl acid,metabolite,Silthiofam,175217-20-6,,C13H21NOSSi,CC1=C(SC(=C1C(=O)NCC=C)[Si](C)(C)C)C
Silthiofam amide acid,as such,Silthiofam amide acid,,,C10H15NO3SSi,O=C(N)c1c(C)c(sc1[Si](C)(C)C)C(=O)O
Silthiofam amide acid,metabolite,Silthiofam,175217-20-6,,C13H21NOSSi,CC1=C(SC(=C1C(=O)NCC=C)[Si](C)(C)C)C
Silver,as such,Silver,7440-22-4,231-131-3,Ag,[Ag]
"Silver containing glass (silver-magnesium-aluminiumphosphate-silicate), silver content less than 2%",as such,"Silver containing glass (silver-magnesium-aluminiumphosphate-silicate), silver content less than 2%",,,,
"Silver containing glass (silver-magnesium-aluminiumsodium-phosphate-silicate-borate), silver content less than 0.5%",as such,"Silver containing glass (silver-magnesium-aluminiumsodium-phosphate-silicate-borate), silver content less than 0.5%",,,,
"Silver containing glass (silver-magnesium-sodiumphosphate), silver content less than 3 %",as such,"Silver containing glass (silver-magnesium-sodiumphosphate), silver content less than 3 %",,,,
Silver hydrosol,as such,Silver hydrosol,,,,
Silver sodium hydrogen zirconium phosphate,as such,Silver sodium hydrogen zirconium phosphate,,,,
"Silver zeolite A (silver zinc sodium ammonium alumino silicate), silver content 2- 5 %",as such,"Silver zeolite A (silver zinc sodium ammonium alumino silicate), silver content 2- 5 %",,,,
"Silver zinc zeolite A (silver-zinc sodium alumino silicate calcium metaphosphate), silver content 1 -1.6 %",as such,"Silver zinc zeolite A (silver-zinc sodium alumino silicate calcium metaphosphate), silver content 1 -1.6 %",,,,
"Silver zinc zeolite A (silver-zinc sodium magnesium alumino silicate calcium phosphate), silver content 0.34 - 0.54 %",as such,"Silver zinc zeolite A (silver-zinc sodium magnesium alumino silicate calcium phosphate), silver content 0.34 - 0.54 %",,,,
Silver-containing glass (Silver-magnesium-calcium-phosphate-borate),as such,Silver-containing glass (Silver-magnesium-calcium-phosphate-borate),,,,
"Silver-zinc-aluminium-boron-phosphate glass, mixed with 5-20% barium sulphate, silver content 0.35-0.6%",as such,"Silver-zinc-aluminium-boron-phosphate glass, mixed with 5-20% barium sulphate, silver content 0.35-0.6%",,,,
Simazine,as such,Simazine,122-34-9,204-535-2,C7H12ClN5,CCNC1=NC(=NC(=N1)Cl)NCC
Sintofen (aka cintofen),as such,Sintofen (aka cintofen),130561-48-7,,C18H15ClN2O5,O=C(O)C2=NN(c1ccc(Cl)cc1)c3cccc(OCCOC)c3C2=O
Sintofen formulation (Croisor 100L),active ingredient,Sintofen (aka cintofen),130561-48-7,,C18H15ClN2O5,O=C(O)C2=NN(c1ccc(Cl)cc1)c3cccc(OCCOC)c3C2=O
Sintofen metabolite (SC 3095),as such,Sintofen metabolite (SC 3095),,,,
Sintofen metabolite (SC 3095),metabolite,Sintofen (aka cintofen),130561-48-7,,C18H15ClN2O5,O=C(O)C2=NN(c1ccc(Cl)cc1)c3cccc(OCCOC)c3C2=O
Smoke Flavoring Zesti Smoke Code 10,as such,Smoke Flavoring Zesti Smoke Code 10,,,,
Smoke Flavouring AM 01,as such,Smoke Flavouring AM 01,,,,
Smoke Flavouring FF-B,as such,Smoke Flavouring FF-B,,,,
Smoke Flavouring Fumokomp,as such,Smoke Flavouring Fumokomp,,,,
Smoke Flavouring Scansmoke PB 1110,as such,Smoke Flavouring Scansmoke PB 1110,,,,
Smoke Flavouring Scansmoke R909,as such,Smoke Flavouring Scansmoke R909,,,,
Smoke Flavouring Scansmoke SEF7525,as such,Smoke Flavouring Scansmoke SEF7525,,,,
Smoke Flavouring SmokEz C-10,as such,Smoke Flavouring SmokEz C-10,,,,
Smoke Flavouring SmokEz Enviro 23,as such,Smoke Flavouring SmokEz Enviro 23,,,,
Smoke Flavouring Smoke Concentrate 809045,as such,Smoke Flavouring Smoke Concentrate 809045,,,,
Smoke Flavouring TRADISMOKETM A MAX,as such,Smoke Flavouring TRADISMOKETM A MAX,,,,
Smoke Flavouring Unismoke,as such,Smoke Flavouring Unismoke,,,,
Sodium (total),not part of group assessment,Sodium ion,,,,
Sodium 1-naphthylacetate,as such,Sodium 1-naphthylacetate,61-31-4,,C12H9NaO2,C1=CC=C2C(=C1)C=CC=C2CC(=O)[O-].[Na+]
Sodium 1-naphthylacetate formulation (Fruitone N),active ingredient,Sodium 1-naphthylacetate,61-31-4,,C12H9NaO2,C1=CC=C2C(=C1)C=CC=C2CC(=O)[O-].[Na+]
"Sodium 2,4-dicarbamoyl-3,5,6-trichlorobenzene-1-sulfonate",as such,"Sodium 2,4-dicarbamoyl-3,5,6-trichlorobenzene-1-sulfonate",,,C8H5Cl3N2O5S.Na,O=S(C1=C(Cl)C(Cl)=C(C(N)=O)C(Cl)=C1C(N)=O)([O-])=O.[Na+]
"Sodium 2,4-dicarbamoyl-3,5,6-trichlorobenzene-1-sulfonate",metabolite,Chlorothalonil,1897-45-6,217-588-1,C8Cl4N2,Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl
Sodium 2-(4-methoxyphenoxy)propionate,as such,Sodium 2-(4-methoxyphenoxy)propionate,13794-15-5,,"C10H11O4,Na+",[Na+].[O-]C(=O)C(Oc1ccc(OC)cc1)C
Sodium 5-nitroguaiacolate,as such,Sodium 5-nitroguaiacolate,67233-85-6,614-038-6,C7H6NO4Na,COC1=C(C=C(C=C1)[N+](=O)[O-])[O-].[Na+]
"Sodium 5-nitroguaiacolate, sodium o-nitrophenolate and sodium p-nitrophenolate formulation (Atonik)",active ingredient,Sodium 5-nitroguaiacolate,67233-85-6,614-038-6,C7H6NO4Na,COC1=C(C=C(C=C1)[N+](=O)[O-])[O-].[Na+]
"Sodium 5-nitroguaiacolate, sodium o-nitrophenolate and sodium p-nitrophenolate formulation (Atonik)",active ingredient,Sodium o-nitrophenolate,824-39-5,212-527-5,C6H4NNaO3,C1=CC=C(C(=C1)[N+](=O)[O-])[O-].[Na+]
"Sodium 5-nitroguaiacolate, sodium o-nitrophenolate and sodium p-nitrophenolate formulation (Atonik)",active ingredient,Sodium p-nitrophenolate,824-78-2,212-536-4,C6H4NNaO3,C1=CC(=CC=C1[N+](=O)[O-])[O-].[Na+]
"Sodium N,N-dimethylglycine",as such,"Sodium N,N-dimethylglycine",18319-88-5,242-206-5,C4H10NNaO2,[H-].CN(C)CC(=O)O.[Na+]
Sodium alginate,monomer,Sodium alginate,9005-38-3,,,
Sodium aluminium phosphate,as such,Sodium aluminium phosphate,7785-88-8,232-090-4,AlNaO4P,[O-]P(=O)([O-])[O-].[Na+].[Al+3]
Sodium aluminium silicate,as such,Sodium aluminium silicate,12003-51-9,234-430-7,AlNaO4Si,[O-][Si]([O-])([O-])[O-].[Na+].[Al+3]
Sodium ascorbate,as such,Sodium ascorbate,134-03-2,205-126-1,C6H7NaO6,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.[Na+]
Sodium ascorbyl phosphate,as such,Sodium ascorbyl phosphate,66170-10-3,,C6H6Na3O9P,C([C@@H]([C@@H]1C(=O)C(=C(O1)[O-])OP(=O)([O-])[O-])O)O.[Na+].[Na+].[Na+]
Sodium benzoate,as such,Sodium benzoate,532-32-1,208-534-8,C7H5NaO2,C1=CC=C(C=C1)C(=O)[O-].[Na+]
Sodium bicarbonate,as such,Sodium bicarbonate,144-55-8,205-633-8,CHNaO3,C(=O)(O)[O-].[Na+]
Sodium bisulphate,as such,Sodium bisulphate,7681-38-1,231-665-7,HNaO4S,OS(=O)(=O)[O-].[Na+]
Sodium calcium ascorbyl phosphate,as such,Sodium calcium ascorbyl phosphate,,,C6H6CaNaO9P,[Ca+2].[Na+].[O-]C1=C(OP([O-])([O-])=O)C(=O)O[C@@H]1[C@@H](O)CO
Sodium carbonate,as such,Sodium carbonate,497-19-8,207-838-8,CNa2O3,C(=O)([O-])[O-].[Na+].[Na+]
Sodium carboxymethyl cellulose,as such,Sodium carboxymethylcellulose,9004-32-4,618-378-6,C2-H4-O3.x-Na.x-Unspecified,[Na].CC(=O)O.OCC(O)C(O)C(O)C(O)C=O
Sodium chloride,as such,Sodium chloride,7647-14-5,231-598-3,ClNa,[Na+].[Cl-]
Sodium chlorite,as such,Sodium chlorite,7758-19-2,231-836-6,ClNaO2,[Na+].[O-][Cl]=O
Sodium diacetate,=,Acetic acid,64-19-7,200-580-7,C2H4O2,CC(=O)O
Sodium diacetate,=,Sodium acetate,127-09-3,204-823-8,C2H3NaO2,CC(=O)[O-].[Na+]
Sodium diacetate,as such,Sodium diacetate,126-96-5,204-814-9,C4H7NaO4,CC(=O)O.CC(=O)[O-].[Na+]
Sodium erythorbate,as such,Sodium erythorbate,6381-77-7,228-973-9,C6H7NaO6,C([C@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.[Na+]
"Sodium erythorbate, sodium carbonate, sodium bicarbonate, iron sulphate, activated carbon, cellulose, calcium hydroxide, calcium chloride and water mixture",part of,Calcium chloride,10043-52-4,233-140-8,CaCl2,[Cl-].[Cl-].[Ca+2]
"Sodium erythorbate, sodium carbonate, sodium bicarbonate, iron sulphate, activated carbon, cellulose, calcium hydroxide, calcium chloride and water mixture",part of,Calcium hydroxide,1305-62-0,215-137-3,CaH2O2,[OH-].[OH-].[Ca+2]
"Sodium erythorbate, sodium carbonate, sodium bicarbonate, iron sulphate, activated carbon, cellulose, calcium hydroxide, calcium chloride and water mixture",part of,Carbon Black,1333-86-4,215-609-9,,
"Sodium erythorbate, sodium carbonate, sodium bicarbonate, iron sulphate, activated carbon, cellulose, calcium hydroxide, calcium chloride and water mixture",part of,Iron sulfate heptahydrate,7782-63-0,,FeH14O11S,O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Fe+2]
"Sodium erythorbate, sodium carbonate, sodium bicarbonate, iron sulphate, activated carbon, cellulose, calcium hydroxide, calcium chloride and water mixture",part of,Microcrystalline cellulose,9004-34-6,232-674-9,,
"Sodium erythorbate, sodium carbonate, sodium bicarbonate, iron sulphate, activated carbon, cellulose, calcium hydroxide, calcium chloride and water mixture",part of,Sodium bicarbonate,144-55-8,205-633-8,CHNaO3,C(=O)(O)[O-].[Na+]
"Sodium erythorbate, sodium carbonate, sodium bicarbonate, iron sulphate, activated carbon, cellulose, calcium hydroxide, calcium chloride and water mixture",part of,Sodium carbonate,497-19-8,207-838-8,CNa2O3,C(=O)([O-])[O-].[Na+].[Na+]
"Sodium erythorbate, sodium carbonate, sodium bicarbonate, iron sulphate, activated carbon, cellulose, calcium hydroxide, calcium chloride and water mixture",part of,Sodium erythorbate,6381-77-7,228-973-9,C6H7NaO6,C([C@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.[Na+]
"Sodium erythorbate, sodium carbonate, sodium bicarbonate, iron sulphate, activated carbon, cellulose, calcium hydroxide, calcium chloride and water mixture",part of,Water,7732-18-5,231-791-2,H2O,O
Sodium ferrocyanide,as such,Sodium ferrocyanide,13601-19-9,237-081-9,C6FeN6.4Na,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Na+].[Na+].[Na+].[Na+].[Fe+2]
Sodium formate,as such,Sodium formate,141-53-7,205-488-0,CHNaO2,C(=O)[O-].[Na+]
Sodium hyaluronate,as such,Sodium hyaluronate,9067-32-7,,C28H44N2NaO23+,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)NC(=O)C)O)O.[Na+]
Sodium hydrogen phosphonate,as such,Sodium hydrogen phosphonate,,237-707-0,H2NaO3P,OP(O)[O-].[Na+]
Sodium hydroxide,as such,Sodium hydroxide,1310-73-2,215-185-5,HNaO,[OH-].[Na+]
Sodium hypochlorite,as such,Sodium hypochlorite,7681-52-9,231-668-3,,
Sodium lactate,as such,Sodium lactate,72-17-3,200-772-0,C3H5NaO3,CC(C(=O)[O-])O.[Na+]
Sodium malate and calcium malate mixture,part of,Calcium malate,17482-42-7,241-498-1,C4H4CaO5,C(C(C(=O)[O-])O)C(=O)[O-].[Ca+2]
Sodium malate and calcium malate mixture,part of,Sodium malate,676-46-0,211-627-6,C4H4Na2O5,C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+]
Sodium metabisulfite,as such,Sodium metabisulfite,7681-57-4,231-673-0,Na2O5S2,[O-]S(OS([O-])=O)=O.[Na+].[Na+]
Sodium molybdate dihydrate,as such,Sodium molybdate dihydrate,10102–40–6,231–551–7,H4MoNa2O6,O.O.[O-][Mo](=O)(=O)[O-].[Na+].[Na+]
Sodium monofluorophosphate,as such,Sodium monofluorophosphate,10163-15-2,233-433-0,FH2O3P.2Na,[Na+].[Na+].[O-]P([O-])(F)=O
Sodium nitrate,as such,Sodium nitrate,7631-99-4,231-554-3,NNaO3,O=[N+]([O-])[O-].[Na+]
Sodium nitrite,as such,Sodium nitrite,7632-00-0,231-555-9,NNaO2,O=N[O-].[Na+]
Sodium o-nitrophenolate,as such,Sodium o-nitrophenolate,824-39-5,212-527-5,C6H4NNaO3,C1=CC=C(C(=C1)[N+](=O)[O-])[O-].[Na+]
Sodium p-nitrophenolate,as such,Sodium p-nitrophenolate,824-78-2,212-536-4,C6H4NNaO3,C1=CC(=CC=C1[N+](=O)[O-])[O-].[Na+]
Sodium propionate,as such,Sodium propionate,137-40-6,205-290-4,C3H5NaO2,CCC(=O)[O-].[Na+]
Sodium selenate,as such,Sodium selenate,13410-01-0,236-501-8,Na2O4Se,[O-][Se](=O)(=O)[O-].[Na+].[Na+]
Sodium selenite,as such,Sodium selenite,10102-18-8,233-267-9,Na2SeO3,[O-][Se](=O)[O-].[Na+].[Na+]
Sodium silicate,as such,Sodium silicate,1344-09-8,215-687-4,,[O-][Si](=O)[O-].[Na+].[Na+]
Sodium silver thiosulfate (in solution with a ratio of at least 1 to 8 silver to thiosulfate ions),as such,Sodium silver thiosulfate (in solution with a ratio of at least 1 to 8 silver to thiosulfate ions),,,,
Sodium stearoyl-2-lactylate,as such,Sodium stearoyl-2-lactylate,25383-99-7,246-929-7,C24H43NaO6,CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)OC(C)C(=O)[O-].[Na+]
Sodium stearoyl-2-lactylate and calcium stearoyl-2-lactylate,part of group assessment,Calcium stearoyl-2-lactylate,5793-94-2,227-335-7,C48H86CaO12,CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)OC(C)C(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)OC(C)C(=O)[O-].[Ca+2]
Sodium stearoyl-2-lactylate and calcium stearoyl-2-lactylate,part of group assessment,Sodium stearoyl-2-lactylate,25383-99-7,246-929-7,C24H43NaO6,CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)OC(C)C(=O)[O-].[Na+]
Sodium sulphate,as such,Sodium sulphate,7757-82-6,231-820-9,Na2O4S,[O-]S(=O)(=O)[O-].[Na+].[Na+]
Sodium tetraborate,as such,Sodium tetraborate,1330-43-4,215-540-4,,B(=O)OB([O-])OB([O-])OB=O.[Na+].[Na+]
"Sodium, potassium and calcium salts of fatty acids (E 470a)",as such,"Sodium, potassium and calcium salts of fatty acids (E 470a)",,,,
Solanidine,as such,Solanidine,80-78-4,,C27H43NO,CC1CCC2C(C3C(N2C1)CC4C3(CCC5C4CC=C6C5(CCC(C6)O)C)C)C
Solanum glaucophyllum standardised leaves (PAN),as such,Solanum glaucophyllum standardised leaves (PAN),,,,
Solvent Red I,as such,Solvent Red I,1229-55-6,,,
Sorbitan,as such,Sorbitan,12441-09-7,235-671-0,C6H12O5,C1C([C@@H](C(O1)C(CO)O)O)O
Sorbitan monolaurate,as such,Sorbitan monolaurate,1338-39-2,215-663-3,C18H34O6,O[C@@H]1[C@@H](O)[C@]([C@@H](COC(CCCCCCCCCCC)=O)O)([H])OC1
Sorbitan monooleate,as such,Sorbitan monooleate,1338-43-8,215-665-4,C24H44O6,O[C@@H]1[C@@H](O)[C@]([C@@H](COC(CCCCCCC\C=C/CCCCCCCC)=O)O)([H])OC1
Sorbitan monopalmitate,as such,Sorbitan monopalmitate,26266-57-9,247-568-8,C22H42O6,O[C@@H]1[C@@H](O)[C@@H]([C@@H](COC(CCCCCCCCCCCCCCC)=O)O)OC1
Sorbitan monostearate,as such,Sorbitan monostearate,1338-41-6,215-664-9,C24H46O6,O[C@@H]1[C@@H](O)[C@@H]([C@@H](COC(CCCCCCCCCCCCCCCCC)=O)O)OC1
Sorbitan tristearate,as such,Sorbitan tristearate,26658-19-5,247-891-4,C60H114O8,[C@@H]1(OC[C@@H](O)[C@@H]1OC(=O)CCCCCCCCCCCCCCCCC)C(OC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC
Sorbitol,as such,Sorbitol,,,,
Soybean hemicellulose,as such,Soybean hemicellulose,,,,
Sparteine sulfate,as such,Sparteine sulfate,299-39-8,206-078-4,C15H28N2O4S,C1CCN2C[C@@H]3C[C@H]([C@H]2C1)CN4[C@H]3CCCC4.OS(=O)(=O)O
Spearmint oil,part of,l-Carvone,6485-40-1,229-352-5,C10H14O,CC1=CCC(CC1=O)C(=C)C
Spilanthol,as such,Spilanthol,25394-57-4,,C14H23NO,CC(C)CNC(=O)\C=C\CC/C=C\C=C\C
Spinetoram,<=,XDE-175-J,187166-40-1,,C42H69NO10,
Spinetoram,<=,XDE-175-L,187166-15-0,,C43H69NO10,CC[C@@H]1CCC[C@H]([C@@H](C(=O)C2=C[C@@H]3[C@H]4C[C@H](C[C@@H]4C(=C[C@@H]3[C@H]2CC(=O)O1)C)O[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)C)OC)OCC)OC)C)O[C@@H]6CC[C@H]([C@@H](O6)C)N(C)C
